,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,544875.7744526812,0.0,544875.7744526812,544875.7744526812,10708.896175047628
1,579860.8429757224,0.0,579860.8429757224,579860.8429757224,11342.217358642172
2,389005.79655813705,0.0,389005.79655813705,389005.79655813705,7830.759080865639
3,510550.5933927732,0.0,510550.5933927732,510550.5933927732,10083.13993123438
4,477931.77020806243,0.0,477931.77020806243,477931.77020806243,9484.429900793202
5,394835.8045215364,0.0,394835.8045215364,394835.8045215364,7940.188484430265
6,329859.883342125,0.0,329859.883342125,329859.883342125,6711.877244260201
7,352896.9308403308,0.0,352896.9308403308,352896.9308403308,7149.609987498864
8,363700.9472811649,0.0,363700.9472811649,363700.9472811649,7354.0365864477
9,220674.83560428838,0.0,220674.83560428838,220674.83560428838,4598.5977786678495
10,172583.76616539893,0.0,172583.76616539893,172583.76616539893,3643.776936084349
11,127440.9677531441,0.0,127440.9677531441,127440.9677531441,2729.982520871264
12,90581.306485101,0.0,90581.306485101,90581.306485101,1942.976630620579
13,96874.46646395873,0.0,96874.46646395873,96874.46646395873,2050.8039527126343
14,104748.88359397059,0.0,104748.88359397059,104748.88359397059,2220.0795368769573
15,85315.24201249376,0.0,85315.24201249376,85315.24201249376,1831.0444065180882
16,42435.273336219914,0.0,42435.273336219914,42435.273336219914,909.070702659494
17,78241.09489125246,0.0,78241.09489125246,78241.09489125246,1545.7726167330882
18,111396.35738989066,0.0,111396.35738989066,111396.35738989066,2271.2446139769204
19,298381.07662411284,0.0,298381.07662411284,298381.07662411284,6007.2544384021485
20,240913.6839791841,0.0,240913.6839791841,240913.6839791841,4995.247439794585
21,343403.67009053944,0.0,343403.67009053944,343403.67009053944,6969.179377812738
22,243564.74770031867,0.0,243564.74770031867,243564.74770031867,5047.040925915703
23,443798.30664163776,0.0,443798.30664163776,443798.30664163776,8853.013481413953
24,559986.1257865888,0.0,559986.1257865888,559986.1257865888,10981.989405524975
25,579486.5996572189,0.0,579486.5996572189,579486.5996572189,11334.453444285307
26,607189.941926397,0.0,607189.941926397,607189.941926397,11832.942290705927
27,716121.5609529011,0.0,716121.5609529011,716121.5609529011,13768.834349068895
28,804917.6171677404,0.0,804917.6171677404,804917.6171677404,15320.16862220667
29,921166.5635295045,0.0,921166.5635295045,921166.5635295045,17317.839274157217
30,997227.3169842798,0.0,997227.3169842798,997227.3169842798,18605.804756444497
31,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19744.54942036127
32,1122341.0539668184,0.0,1122341.0539668184,1122341.0539668184,20693.749543337894
33,718066.4674283669,0.0,718066.4674283669,718066.4674283669,13802.932526438339
34,360998.00083303056,0.0,360998.00083303056,360998.00083303056,7302.471413363851
35,322158.469902936,0.0,322158.469902936,322158.469902936,6564.442784897549
36,288686.4195433355,0.0,288686.4195433355,288686.4195433355,5922.313452156222
37,290551.4498691431,0.0,290551.4498691431,290551.4498691431,5958.238643361937
38,332106.2213198889,0.0,332106.2213198889,332106.2213198889,6754.136833714893
39,272093.171813679,0.0,272093.171813679,272093.171813679,5601.729818910839
40,350545.31486847054,0.0,350545.31486847054,350545.31486847054,7104.5013285290015
41,535203.8486329145,0.0,535203.8486329145,535203.8486329145,10531.82357404088
42,693547.8914569911,0.0,693547.8914569911,693547.8914569911,13370.41930151296
43,896068.5748785607,0.0,896068.5748785607,896068.5748785607,16889.249365191146
44,706181.372466306,0.0,706181.372466306,706181.372466306,13593.369903855066
45,615823.7137808336,0.0,615823.7137808336,615823.7137808336,11987.423778628985
46,691800.9417212412,0.0,691800.9417212412,691800.9417212412,13339.46318330863
47,867075.8848814795,0.0,867075.8848814795,867075.8848814795,16392.396873481146
48,888076.0825157032,0.0,888076.0825157032,888076.0825157032,16752.40481253767
49,1008213.0683352562,0.0,1008213.0683352562,1008213.0683352562,18790.12776495592
50,1016966.6241444206,0.0,1016966.6241444206,1016966.6241444206,18937.16568270274
51,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.982878608727
52,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.95312407431
53,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.923369532564
54,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.89361498348
55,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.863860427045
56,1074668.058483499,0.0,1074668.058483499,1074668.058483499,19901.806312737095
57,664854.8639714442,0.0,664854.8639714442,664854.8639714442,12861.82052774602
58,481805.18281276117,0.0,481805.18281276117,481805.18281276117,9554.561077336963
59,425985.58687940415,0.0,425985.58687940415,425985.58687940415,8521.467360704637
60,353788.8039094101,0.0,353788.8039094101,353788.8039094101,7165.727277866813
61,320225.17983659846,0.0,320225.17983659846,320225.17983659846,6527.232369758998
62,307174.3030872905,0.0,307174.3030872905,307174.3030872905,6277.4343477122
63,317969.73163977684,0.0,317969.73163977684,317969.73163977684,6484.106126151959
64,295042.38354310766,0.0,295042.38354310766,295042.38354310766,6044.419192801957
65,792734.9969795566,0.0,792734.9969795566,792734.9969795566,15107.833750440645
66,628658.3500422557,0.0,628658.3500422557,628658.3500422557,12216.730091993364
67,947197.4745641793,0.0,947197.4745641793,947197.4745641793,17759.296019425543
68,1049737.953982903,0.0,1049737.953982903,1049737.953982903,19485.597027145774
69,624141.1640880617,0.0,624141.1640880617,624141.1640880617,12135.89114989692
70,873152.0581579009,0.0,873152.0581579009,873152.0581579009,16496.12206975172
71,792296.4979054442,0.0,792296.4979054442,792296.4979054442,15100.075057844468
72,1000596.9450843894,0.0,1000596.9450843894,1000596.9450843894,18661.38965659822
73,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.352813548656
74,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.32305885883
75,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.293304161678
76,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.26354945718
77,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.233794745345
78,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.204040026172
79,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19743.17428529966
80,1122343.7779319538,0.0,1122343.7779319538,1122343.7779319538,20692.364487880634
81,1164445.8283777584,0.0,1164445.8283777584,1164445.8283777584,21386.768152917062
82,793565.5061917518,0.0,793565.5061917518,793565.5061917518,15121.864805425654
83,521920.681635611,0.0,521920.681635611,521920.681635611,10289.087436594653
84,520894.67220022116,0.0,520894.67220022116,520894.67220022116,10270.350107428709
85,490663.047358829,0.0,490663.047358829,490663.047358829,9716.945211774431
86,501162.8968343057,0.0,501162.8968343057,501162.8968343057,9909.51842149739
87,418789.5862676648,0.0,418789.5862676648,418789.5862676648,8386.978698047977
88,482123.0829398505,0.0,482123.0829398505,482123.0829398505,9559.949962973888
89,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.888658829943
90,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.85890402565
91,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.82914921401
92,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.799394395028
93,933266.4987081162,0.0,933266.4987081162,933266.4987081162,17522.05338300459
94,534381.1064944501,0.0,534381.1064944501,534381.1064944501,10515.959592130494
95,521862.730942996,0.0,521862.730942996,521862.730942996,10287.834239886215
96,272219.18655717187,0.0,272219.18655717187,272219.18655717187,5603.6286182885015
97,369519.08768500324,0.0,369519.08768500324,369519.08768500324,7462.653993139304
98,417035.3496438258,0.0,417035.3496438258,417035.3496438258,8354.105887103298
99,234378.96642220597,0.0,234378.96642220597,234378.96642220597,4866.697840473894
100,184640.2016673228,0.0,184640.2016673228,184640.2016673228,3883.942674411096
101,523490.68484833883,0.0,523490.68484833883,523490.68484833883,10317.438332461868
102,613919.5905135921,0.0,613919.5905135921,613919.5905135921,11952.234175998143
103,994202.8374677494,0.0,994202.8374677494,994202.8374677494,18552.885711044066
104,1118398.859156911,0.0,1118398.859156911,1118398.859156911,20626.385320107074
105,717329.6569020054,0.0,717329.6569020054,717329.6569020054,13788.451690614605
106,494893.7567602164,0.0,494893.7567602164,494893.7567602164,9794.270935010845
107,155518.35908248695,0.0,155518.35908248695,155518.35908248695,3299.8387382520395
108,264550.52145744656,0.0,264550.52145744656,264550.52145744656,5454.8680974465005
109,627300.1865903473,0.0,627300.1865903473,627300.1865903473,12191.633382998529
110,756862.6693222407,0.0,756862.6693222407,756862.6693222407,14481.652686757727
111,717068.9624489713,0.0,717068.9624489713,717068.9624489713,13783.741704239595
112,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.239196487924
113,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.209441523435
114,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.17968655159
115,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.14993157242
116,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.120176585897
117,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.09042159205
118,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.060666590845
119,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.03091158232
120,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19742.001156566435
121,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19741.97140154323
122,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19741.941646512678
123,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19741.91189147478
124,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19741.88213642955
125,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19741.852381376983
126,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19741.822626317076
127,1065187.929482132,0.0,1065187.929482132,1065187.929482132,19741.79287124981
128,1069572.1436276897,0.0,1069572.1436276897,1069572.1436276897,19814.83935212784
