7.66,355.0
7.81,349.4
6.86,354.8
7.48,346.0
7.32,348.3
6.88,338.5
6.49,337.8
6.63,340.1
6.29,341.0
4.67,341.0
4.07,338.6
3.54,331.8
3.01,327.0
2.49,325.8
2.5,303.0
2.99,294.7
3.59,290.1
4.22,283.3
4.67,277.2
6.32,282.5
5.91,276.3
6.61,277.6
5.93,269.6
7.18,263.4
7.74,261.3
7.83,256.6
7.95,249.5
8.39,233.6
8.71,222.4
9.1,218.8
9.34,207.6
9.85,201.7
9.99,195.0
7.99,191.7
6.09,181.2
5.91,188.2
5.69,192.6
5.62,197.9
5.94,203.0
6.11,205.7
6.72,209.2
7.7,208.5
8.35,210.7
9.08,226.0
8.4,237.6
8.03,249.2
8.34,258.7
8.98,271.6
9.05,283.1
9.44,288.1
9.47,297.2
10.35,298.5
10.13,304.8
10.38,300.1
10.91,298.4
10.1,297.5
10.2,300.2
8.09,303.4
7.09,303.9
6.88,302.4
6.47,299.5
6.28,296.4
6.3,292.6
6.42,288.7
6.31,288.2
8.69,278.4
8.05,279.2
9.2,280.1
9.56,277.6
8.02,274.6
8.95,276.8
8.67,269.5
9.36,265.3
10.2,261.8
10.96,258.5
10.89,256.9
11.83,253.7
12.06,251.4
12.54,252.1
12.57,253.6
11.87,250.8
11.16,257.8
8.34,257.3
7.19,254.8
7.21,256.9
6.99,255.3
7.02,254.5
6.66,253.6
7.43,253.4
9.92,251.1
10.09,252.1
10.39,254.6
10.24,255.9
9.23,260.6
7.69,261.2
7.63,268.9
6.19,265.0
6.82,257.4
7.09,254.1
5.9,252.4
5.48,243.6
7.62,227.6
8.02,219.4
9.39,213.4
10.29,215.0
8.05,209.4
7.29,213.6
4.44,198.8
5.87,201.7
7.84,203.4
8.52,203.9
8.52,210.8
10.44,207.4
11.44,210.2
12.66,214.6
12.21,222.8
11.32,225.9
12.1,242.2
10.3,264.0
9.83,287.7
10.08,309.5
9.84,311.1
10.85,311.5
10.53,311.1
10.2,310.5
11.03,311.1
11.1,312.2
11.91,314.9
12.54,317.5
11.01,319.9
8.68,318.1
7.66,317.9
6.5,316.7
5.51,313.4
4.45,304.6
4.86,291.9
5.37,292.5
5.38,291.7
4.64,285.4
5.58,280.6
5.2,269.1
5.41,254.0
6.11,234.4
7.0,220.0
7.85,209.5
10.16,202.0
11.46,198.9
12.57,195.0
13.71,197.2
13.53,193.5
12.96,194.7
13.42,200.5
14.0,195.9
14.97,206.7
14.07,203.8
10.93,204.0
10.2,201.5
10.24,204.2
9.72,200.8
9.88,199.8
10.4,200.4
13.32,200.7
14.59,204.1
13.8,212.0
14.09,216.8
13.29,219.6
10.77,219.8
9.37,221.1
8.53,219.3
9.88,227.9
7.67,236.6
7.98,236.7
8.26,219.1
5.73,218.1
7.07,206.9
6.93,199.7
6.1,185.5
6.03,172.8
6.18,170.1
5.8,166.5
7.54,170.6
8.84,171.0
9.37,171.3
10.61,173.0
11.88,171.6
13.0,177.5
13.45,180.5
14.14,191.1
12.37,203.2
13.36,207.4
13.16,210.0
12.26,225.5
11.73,243.5
13.02,258.7
12.76,267.2
14.91,274.7
14.7,276.7
14.79,277.3
14.7,276.1
15.19,276.2
14.78,274.2
11.42,274.7
8.68,273.1
8.76,268.2
9.3,270.5
9.2,271.8
8.27,269.5
7.91,273.4
8.85,273.7
9.64,285.7
9.36,300.1
6.15,307.9
3.3,326.2
0.86,335.6
0.45,191.4
2.79,167.8
3.99,165.8
3.55,168.3
5.96,162.4
6.38,167.6
5.63,164.5
8.19,151.3
8.52,148.5
9.18,146.4
9.69,146.0
9.37,143.0
9.32,140.5
8.09,136.3
7.09,131.0
8.04,131.5
8.8,129.6
11.08,123.5
12.39,123.7
13.22,124.7
12.37,129.9
11.39,131.3
11.71,136.0
9.63,131.4
9.13,138.1
9.42,141.5
10.07,138.7
9.43,142.8
7.82,149.8
8.79,154.1
6.99,169.0
7.17,201.7
5.49,229.5
6.7,233.3
6.2,222.4
8.95,204.4
11.3,214.2
9.33,206.2
9.68,185.6
10.55,183.2
11.45,178.2
10.85,175.0
11.79,169.8
13.98,171.4
14.84,177.2
14.19,179.8
13.71,185.0
10.12,178.1
7.8,176.0
13.33,195.5
16.05,203.9
18.6,210.9
17.53,211.4
17.27,217.8
15.93,227.5
10.3,249.5
8.93,265.2
8.42,264.1
9.84,264.9
11.08,268.2
9.2,259.8
7.04,261.3
7.63,264.8
7.32,259.9
7.77,264.5
6.26,265.2
6.06,262.0
6.67,270.8
6.64,283.9
6.6,292.6
7.02,310.6
7.02,312.6
7.08,311.6
6.89,319.1
6.74,326.5
7.21,323.8
7.18,322.8
7.21,316.5
7.35,316.9
6.63,316.4
6.39,315.5
6.55,313.2
6.51,314.3
6.21,309.3
6.16,306.4
6.21,303.9
6.41,300.7
6.27,295.8
6.76,296.0
